104, 53, 164, 39, 0.235409, 0.055556
105, 3308, 11, 2810, 0.235409, 0.055556
107, 4, 43, 4, 0.191959, 0.027778
110, 3, 16, 3, 0.150190, 0.010000
111, 11, 43, 11, 0.173765, 0.018868
113, 4, 0, 4, 0.212746, 0.040000
114, 7, 0, 7, 0.173765, 0.018868
115, 105, 67, 101, 0.150190, 0.010000
117, 12, 14, 11, 0.200000, 0.032258
119, 359, 33, 333, 0.150190, 0.010000
120, 3, 24, 3, 0.150190, 0.010000
122, 10, 31, 9, 0.177184, 0.020408
123, 6, 12, 6, 0.150190, 0.010000
124, 4, 35, 4, 0.174583, 0.019231
125, 13, 68, 13, 0.150190, 0.010000
126, 9, 0, 9, 0.386853, 0.200000
131, 10, 28, 10, 0.430677, 0.250000
132, 9, 67, 9, 0.166667, 0.015873
133, 11, 33, 11, 0.500000, 0.333333
134, 10, 82, 10, 0.185449, 0.024390
136, 21, 0, 21, 0.179052, 0.021277
138, 6, 0, 6, 0.630930, 0.500000
139, 38, 147, 37, 0.176291, 0.020000
140, 6, 49, 6, 0.208015, 0.037037
142, 9, 50, 9, 0.171442, 0.017857
143, 8, 0, 8, 0.500000, 0.333333
144, 5, 11, 5, 0.215338, 0.041667
145, 14, 0, 14, 0.150190, 0.010000
147, 3, 72, 3, 0.315465, 0.125000
148, 112, 97, 104, 0.161045, 0.013699
154, 21, 54, 21, 0.386853, 0.200000
155, 3, 106, 3, 0.630930, 0.500000
156, 3, 14, 3, 0.221065, 0.045455
159, 40, 41, 40, 0.630930, 0.500000
161, 20, 10, 17, 0.150190, 0.010000
162, 3, 0, 3, 0.150190, 0.010000
163, 27, 127, 27, 1.000000, 1.000000
165, 6, 0, 6, 1.000000, 1.000000
166, 23, 0, 22, 0.150190, 0.010000
167, 5, 21, 5, 0.221065, 0.045455
168, 4, 189, 4, 0.150190, 0.010000
170, 7, 0, 7, 0.500000, 0.333333
171, 102, 142, 99, 0.174583, 0.019231
174, 3, 50, 3, 0.430677, 0.250000
175, 26, 27, 26, 0.301030, 0.111111
177, 4, 11, 4, 0.185449, 0.024390
178, 8, 29, 8, 0.174583, 0.019231
179, 8, 86, 7, 0.187902, 0.025641
181, 5, 27, 5, 0.315465, 0.125000
182, 63, 493, 63, 0.191959, 0.027778
183, 35, 234, 34, 0.333333, 0.142857
184, 3, 0, 3, 0.173765, 0.018868
186, 8, 340, 7, 0.172970, 0.018519
187, 10, 61, 10, 0.150190, 0.010000
189, 6, 0, 6, 0.150190, 0.010000
190, 13, 0, 13, 0.167300, 0.016129
192, 3, 34, 3, 0.270238, 0.083333
193, 5, 30, 5, 0.333333, 0.142857
194, 12, 78, 12, 0.150190, 0.010000
195, 31, 88, 29, 0.262650, 0.076923
196, 44, 135, 41, 0.150190, 0.010000
197, 5, 21, 4, 0.630930, 0.500000
199, 5, 45, 4, 0.333333, 0.142857
201, 94, 0, 92, 0.179052, 0.021277
203, 13, 15, 13, 0.175425, 0.019608
206, 23, 32, 22, 0.221065, 0.045455
207, 64, 0, 64, 0.630930, 0.500000
208, 9, 45, 9, 1.000000, 1.000000
209, 27, 35, 26, 0.205847, 0.035714
210, 9, 15, 9, 0.301030, 0.111111
211, 17, 62, 17, 1.000000, 1.000000
213, 12, 54, 12, 0.250000, 0.066667
215, 9, 40, 9, 0.630930, 0.500000
216, 13, 33, 13, 0.212746, 0.040000
220, 75, 24, 61, 0.150190, 0.010000
221, 3, 18, 3, 0.270238, 0.083333
225, 10, 33, 10, 0.215338, 0.041667
226, 3, 26, 3, 0.255958, 0.071429
227, 22, 41, 22, 0.193426, 0.028571
228, 20, 36, 20, 0.215338, 0.041667
