183, 35, 234, 0.235409, 0.055556
184, 3, 0, 0.164272, 0.014925
186, 8, 340, 0.166048, 0.015625
187, 10, 61, 0.151861, 0.010526
189, 6, 0, 0.182088, 0.022727
190, 13, 0, 0.158180, 0.012658
192, 3, 34, 0.170707, 0.017544
193, 5, 30, 0.210310, 0.038462
194, 12, 78, 0.153290, 0.010989
195, 31, 88, 0.200000, 0.032258
196, 44, 135, 0.163151, 0.014493
197, 5, 21, 0.430677, 0.250000
199, 5, 45, 0.500000, 0.333333
201, 94, 0, 0.158635, 0.012821
203, 13, 15, 0.210310, 0.038462
206, 23, 32, 0.430677, 0.250000
207, 64, 0, 0.227670, 0.050000
208, 9, 45, 1.000000, 1.000000
209, 27, 35, 0.198240, 0.031250
210, 9, 15, 0.239812, 0.058824
211, 17, 62, 0.500000, 0.333333
213, 12, 54, 0.166667, 0.015873
215, 9, 40, 1.000000, 1.000000
216, 13, 33, 0.198240, 0.031250
220, 75, 24, 0.158180, 0.012658
221, 3, 18, 0.151517, 0.010417
225, 10, 33, 0.167949, 0.016393
226, 3, 26, 0.151861, 0.010526
227, 22, 41, 0.205847, 0.035714
228, 20, 36, 0.208015, 0.037037
229, 19, 166, 0.158635, 0.012821
233, 14, 33, 0.172195, 0.018182
235, 7, 24, 0.173765, 0.018868
236, 10, 254, 0.218104, 0.043478
237, 12, 69, 0.154423, 0.011364
239, 5, 22, 0.198240, 0.031250
241, 25, 523, 0.239812, 0.058824
242, 69, 19, 0.167300, 0.016129
243, 12, 21, 0.194959, 0.029412
245, 3, 24, 0.315465, 0.125000
246, 237, 109, 0.158635, 0.012821
247, 25, 18, 0.165443, 0.015385
249, 11, 44, 0.156021, 0.011905
251, 4, 110, 0.150844, 0.010204
253, 5, 69, 0.175425, 0.019608
254, 10, 0, 0.175425, 0.019608
255, 3, 169, 0.158180, 0.012658
256, 7, 96, 1.000000, 1.000000
257, 31, 43, 0.289065, 0.100000
259, 7, 14, 0.156862, 0.012195
262, 9, 13, 0.278943, 0.090909
263, 4, 26, 0.156862, 0.012195
264, 6, 10, 0.386853, 0.200000
265, 3, 31, 0.171442, 0.017857
267, 12, 20, 0.630930, 0.500000
270, 15, 12, 0.333333, 0.142857
