166, 23, 0, 0.154039, 0.011236
167, 5, 21, 0.430677, 0.250000
168, 4, 189, 0.255958, 0.071429
170, 7, 0, 0.356207, 0.166667
171, 102, 142, 0.386853, 0.200000
174, 3, 50, 0.386853, 0.200000
175, 26, 27, 0.333333, 0.142857
177, 4, 11, 0.244651, 0.062500
178, 8, 29, 0.386853, 0.200000
179, 8, 86, 0.160544, 0.013514
181, 5, 27, 0.356207, 0.166667
182, 63, 493, 0.262650, 0.076923
183, 35, 234, 0.262650, 0.076923
184, 3, 0, 0.262650, 0.076923
186, 8, 340, 0.386853, 0.200000
187, 10, 61, 0.161045, 0.013699
189, 6, 0, 0.201849, 0.033333
190, 13, 0, 0.289065, 0.100000
192, 3, 34, 0.154423, 0.011364
193, 5, 30, 0.301030, 0.111111
194, 12, 78, 0.159099, 0.012987
195, 31, 88, 0.270238, 0.083333
196, 44, 135, 0.152925, 0.010870
197, 5, 21, 0.386853, 0.200000
199, 5, 45, 0.218104, 0.043478
201, 94, 0, 0.356207, 0.166667
203, 13, 15, 0.262650, 0.076923
206, 23, 32, 0.262650, 0.076923
207, 64, 0, 1.000000, 1.000000
208, 9, 45, 0.630930, 0.500000
209, 27, 35, 0.255958, 0.071429
210, 9, 15, 0.500000, 0.333333
211, 17, 62, 0.500000, 0.333333
213, 12, 54, 0.250000, 0.066667
215, 9, 40, 0.500000, 0.333333
216, 13, 33, 0.386853, 0.200000
220, 75, 24, 0.630930, 0.500000
221, 3, 18, 0.194959, 0.029412
225, 10, 33, 0.163706, 0.014706
226, 3, 26, 0.172970, 0.018519
227, 22, 41, 0.161045, 0.013699
228, 20, 36, 0.289065, 0.100000
229, 19, 166, 0.630930, 0.500000
233, 14, 33, 0.333333, 0.142857
235, 7, 24, 0.186652, 0.025000
236, 10, 254, 0.430677, 0.250000
237, 12, 69, 0.152925, 0.010870
239, 5, 22, 0.262650, 0.076923
241, 25, 523, 0.153290, 0.010989
242, 69, 19, 0.244651, 0.062500
243, 12, 21, 0.244651, 0.062500
245, 3, 24, 0.250000, 0.066667
246, 237, 109, 0.154423, 0.011364
247, 25, 18, 0.278943, 0.090909
249, 11, 44, 0.156021, 0.011905
251, 4, 110, 0.167949, 0.016393
253, 5, 69, 0.315465, 0.125000
254, 10, 0, 0.155209, 0.011628
255, 3, 169, 0.170707, 0.017544
256, 7, 96, 1.000000, 1.000000
257, 31, 43, 1.000000, 1.000000
259, 7, 14, 0.198240, 0.031250
262, 9, 13, 0.163151, 0.014493
263, 4, 26, 0.158180, 0.012658
264, 6, 10, 0.500000, 0.333333
265, 3, 31, 0.156862, 0.012195
267, 12, 20, 0.630930, 0.500000
270, 15, 12, 0.356207, 0.166667
271, 7, 0, 0.333333, 0.142857
272, 3, 21, 0.630930, 0.500000
274, 194, 1241, 0.630930, 0.500000
275, 6, 99, 0.500000, 0.333333
278, 4, 56, 0.270238, 0.083333
280, 145, 0, 0.150844, 0.010204
